match_id,year,round,team1_normalized,team2_normalized,team1_score_final,team2_score_final,target,team1_games,team1_wins,team1_goals_for,team1_goals_against,team1_goal_difference,team1_win_rate,team1_goals_per_game,team1_goals_against_per_game,team2_games,team2_wins,team2_goals_for,team2_goals_against,team2_goal_difference,team2_win_rate,team2_goals_per_game,team2_goals_against_per_game,win_rate_diff,goals_per_game_diff,goals_against_per_game_diff,goal_difference_diff,experience_diff
1954_23,1954,Semi-finals,Germany,Austria,6.0,1.0,team1_win,112,68,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,29,12,43,47,-4,0.4137931034482758,1.4827586206896552,1.6206896551724137,0.1933497536945813,0.5886699507389164,-0.4599753694581279,106,83
1954_24,1954,Semi-finals,Hungary,Uruguay,4.0,2.0,team1_win,32,15,87,57,30,0.46875,2.71875,1.78125,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,0.045021186440677985,1.2102754237288136,0.4931144067796611,17,-27
1954_25,1954,Third-place match,Uruguay,Austria,1.0,3.0,team2_win,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,29,12,43,47,-4,0.4137931034482758,1.4827586206896552,1.6206896551724137,0.009935710111046214,0.02571595558153117,-0.3325540619520748,17,30
1954_26,1954,Final,Hungary,Germany,2.0,3.0,team2_win,32,15,87,57,30,0.46875,2.71875,1.78125,112,68,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,-0.1383928571428571,0.6473214285714284,0.6205357142857142,-72,-80
1958_1,1958,Matchday 1,Germany,Argentina,3.0,1.0,team1_win,112,68,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,88,47,152,101,51,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.07305194805194803,0.3441558441558443,0.012987012987013102,51,24
1958_2,1958,Matchday 1,Northern Ireland,Czech Republic,1.0,0.0,team1_win,13,3,13,23,-10,0.2307692307692307,1.0,1.7692307692307692,33,12,47,49,-2,0.3636363636363636,1.4242424242424243,1.4848484848484849,-0.1328671328671329,-0.4242424242424243,0.2843822843822843,-8,-20
1958_3,1958,Matchday 2,Argentina,Northern Ireland,3.0,1.0,team1_win,88,47,152,101,51,0.5340909090909091,1.7272727272727273,1.1477272727272727,13,3,13,23,-10,0.2307692307692307,1.0,1.7692307692307692,0.30332167832167833,0.7272727272727273,-0.6215034965034965,61,75
1958_4,1958,Matchday 2,Germany,Czech Republic,2.0,2.0,draw,112,68,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,33,12,47,49,-2,0.3636363636363636,1.4242424242424243,1.4848484848484849,0.2435064935064935,0.6471861471861473,-0.32413419913419905,104,79
1958_5,1958,Matchday 3,Germany,Northern Ireland,2.0,2.0,draw,112,68,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,13,3,13,23,-10,0.2307692307692307,1.0,1.7692307692307692,0.37637362637362637,1.0714285714285716,-0.6085164835164834,112,99
1958_6,1958,Matchday 3,Czech Republic,Argentina,6.0,1.0,team1_win,33,12,47,49,-2,0.3636363636363636,1.4242424242424243,1.4848484848484849,88,47,152,101,51,0.5340909090909091,1.7272727272727273,1.1477272727272727,-0.17045454545454547,-0.303030303030303,0.33712121212121215,-53,-55
